Category	Icon	Colour	Name	Source type	Source name	Overview pin	Zones	Requirements	Requires flying?	Added in	Projected popularity	Comments	Pins	Areas	See also
				Drop	Enslaved Inferno	88.2, 55.8	Twilight Highlands		FALSE	Phase 1	2	Cultists are annoying, but their drop rate of 0.28 Fire per kill is the highest other than Magma Giants and Molten Front mobs and you can fish Pools of Fire in the same area. If you can kill them decently well, this is the best farm before phase 3.		37.8, 76.8; 39.8, 78.0; 43.2, 78.4; 43.8, 79.6; 42.0, 80.8; 37.0, 80.0	Elemental, Volatile Fire, Pool of Fire: Twilight Highlands
				Drop	Molten Front fire elementals	23.3, 43.8	Molten Front	Quest	FALSE	Phase 3	1	Some mobs added in phase 2 that drop Fire are in Mount Hyjal, but all of them are level 85 and drop 0.28 Fire per kill. In order, you want to look at Charred Vanquishers (best by far, easy to farm), Flame Terrors, Brimstone Destroyers, Flamewatch Sentinels, Charred Invaders, and Seething Pyrelords. Some require questing to be visible, some require that you can enter the Molten Front.			
				Drop	Magma Giant	22.3, 42.5	Mount Hyjal	Group	FALSE	Phase 1	1	While elite, they can be slowed and CCed, allowing many classes to take them out solo. They drop an average of 0.3 Fire per kill, which isn't a lot, but can be woven in between fishing Pools of Fire.		52.6, 71.2; 58.4, 75.2; 58.6, 76.6; 51.0, 71.6|52.6, 81.8; 52.2, 86.6; 52.4, 81.6|42.4, 86.4; 44.0, 84.4; 46.4, 86.0; 43.4, 88.6	Elemental, Volatile Fire, Pool of Fire: Mount Hyjal
				Drop	Twilight Highlands fire elementals	88.6, 56.7	Twilight Highlands		FALSE	Phase 1	2	Not including Enslaved Infernos, which are a better source by drop rate, all of these elementals drop an average of 0.18 Fire per kill. Magmalord Falthazar, Unbound Emberfiend, and Bound Fleshburner are located in the Twilight camp northwest of Thundermar. Subjugated Firestarters are near Firebeard's Patrol, but do NOT drop any loot!		39.6, 14.0; 41.6, 14.4; 42.6, 15.4; 42.6, 17.8; 40.2, 19.6; 39.0, 16.4|41.2, 20.4; 43.4, 21.2; 43.8, 23.6; 43.6, 26.2; 41.2, 24.6; 40.0, 21.8	
				Drop	Mount Hyjal fire elementals	23.7, 38.3	Mount Hyjal		FALSE	Phase 1	2	For all of these, you can distinguish them by being added in phase 1 and not being level 85. Their drop rate for Fire is frankly terrible at 0.15 Fire per kill. The only difference between them is other mobs being present. In order, I'd look at Blazebound Elementals, Searing Guardians, Raging Firestorms, Flame Ascendants, Fiery Tormentors, Fiery Instructors, and Unbound Fire Elementals.			
				Fished	Pool of Fire: Mount Hyjal	22.3, 42.5	Mount Hyjal	Fishing	FALSE	Phase 1	2	Can only be fished from Pools of Fire. Two will spawn at a time and emptying one should cause another to spawn quickly until all 4 spawn points have been emptied, at which point the respawn timer must be waited out. Reports vary between exactly 15 minutes to respawn down to 5-10.		47.9, 74.1; 50.6, 75.3; 52.2, 78.6; 50.3, 82.5	
				Fished	Pool of Fire: Twilight Highlands	88.2, 55.8	Twilight Highlands	Fishing	FALSE	Phase 1	2	Can only be fished from Pools of Fire. Two will spawn at a time and emptying one should cause another to spawn quickly until all 4 spawn points have been emptied, at which point the respawn timer must be waited out. Reports vary between exactly 15 minutes to respawn down to 5-10.		41.3, 79.6; 41.8, 80.9; 40.6, 81.1	
				Mined	Elementium Deposit	~	Any	Mining	FALSE	Phase 1	4	0.15 Fire per vein, while Riches give 0.25. Not a good concentrated source, but a lovely bonus on top.			Metal, Elementium Ore
				Mined	Pyrite Deposit	~	Any	Mining	FALSE	Phase 1	4	0.15 Fire per deposit, while Riches give 0.25. Not a good concentrated source, but a lovely bonus on top.			Metal, Pyrite Ore
				Crafted	Transmute: Living Elements	~	Transmutation with CD	Alchemy	FALSE	Phase 1	0	Transmutes 15 Volatile Life into 14-16 of a "random" element. The element choice can be forced by being in a specific zone: Vashj'ir for Water, Mount Hyjal for Fire, Deepholm for Earth, and Uldum for Air. Alchemists specialised in Transmutation may receive extra Volatiles, which are always random. Shares cooldown with transmuting Pyrite and Truegold, so make sure to research how to best use your daily cooldown.			
				Skinned	Strange Bloated Stomach	~	Any	Mining	FALSE	Phase 1	0	Rarely is skinned from Cataclysm mobs. Drops 1-2 Air, Earth, Fire, Life, or Water. If you have an Electrostatic Condenser in your inventory, you always receive an additional 1-2 Air (only fair, given the Stomach is a rare drop to begin with.)			Elemental, Volatile Air, Electrostatic Condenser
				Fished	Sealed Crate: Tol Barad	67.9, 53.2	Tol Barad Peninsula	Fishing	FALSE	Phase 1	2	Fished from Shipwreck Debris. Contains primarily cloth and a smattering of other goodies. Beware unpleasant members of the other faction. Can only be fished on the Peninsula, the northern contested area.			
				Fished	Sealed Crate: Darkmoon Island	~	Darkmoon Island	Fishing	FALSE	Phase 1	2	Fished from Shipwreck Debris. Contains primarily cloth and a smattering of other goodies. The Darkmoon Island's crates have a different drop table with more faire food. The pools can also contain mounts, so beware competition.			
			Volatile Life												
				Gathered	Any herb	~	Any	Herbalism	FALSE	Phase 1	3	Like with Earth and miners, the best source of these are herbalists. They just passively generate them. All herbs drop an average of 1 Volatile Life when gathered.			Herb
				Drop	Hive Queen's Honeycomb	78.6, 87.4	Zul'Gurub	Group	FALSE	Phase 2	0	Dropped by the Florawing Hive Queen at the base of the waterfall in the instance's northwest corner. Immediately turn left at the entrance as if heading to Zanzil. She drops one Honeycomb for the group to share, but can be soloed with some effort by some classes. It contains 4-6 each of Twilight Jasmine, Volatile Air, and Volatile Life. You can reset and go again if no actual bosses have been killed, however the Honeycomb was made a secret daily reward at some point and may still be so.	31.5, 39.0		
				Gathered	Fungal Behemoth	51.6, 51.1	Deepholm	Herbalism	FALSE	Phase 1	1	Drops 0.15 Life when gathered after being looted.		69.4, 31.4; 73.6, 31.4; 75.6, 36.2; 75.6, 41.6; 77.6, 46.0; 77.2, 50.8; 76.4, 44.6; 74.6, 42.4; 72.6, 44.8; 72.0, 48.6; 70.8, 48.8; 68.8, 40.8; 68.4, 33.2; 69.8, 31.4; 70.4, 32.6; 69.0, 36.0; 70.6, 40.2; 73.2, 39.2; 74.6, 36.8; 72.6, 32.2	
				Container	Tiny Treasure Chest	~	Any	~	FALSE	Phase 1	0	After using a Potion of Treasure Finding, drops from any Cataclysm mob that drops loot. The drop chance for a chest seems to be around 5% per kill. This is a decent source of cloth, while giving only trace amounts of ore and Volatiles. Thus, you should research whether the potion generates enough value to be worth its own cost, and use it when already farming something else.			
				Skinned	Strange Bloated Stomach	~	Any	Mining	FALSE	Phase 1	0	Rarely is skinned from Cataclysm mobs. Drops 1-2 Air, Earth, Fire, Life, or Water. If you have an Electrostatic Condenser in your inventory, you always receive an additional 1-2 Air (only fair, given the Stomach is a rare drop to begin with.)			Elemental, Volatile Air, Electrostatic Condenser
				Fished	Sealed Crate: Tol Barad	67.9, 53.2	Tol Barad Peninsula	Fishing	FALSE	Phase 1	2	Fished from Shipwreck Debris. Contains primarily cloth and a smattering of other goodies. Beware unpleasant members of the other faction. Can only be fished on the Peninsula, the northern contested area.			
				Fished	Sealed Crate: Darkmoon Island	~	Darkmoon Island	Fishing	FALSE	Phase 1	2	Fished from Shipwreck Debris. Contains primarily cloth and a smattering of other goodies. The Darkmoon Island's crates have a different drop table with more faire food. The pools can also contain mounts, so beware competition.			
			Volatile Water												
				Drop	Enslaved Waterspout	88.2, 55.8	Twilight Highlands	~	FALSE	Phase 1	2	Plausible Hyperspawn. They are quest-relevant and very underwater, but that should not be a problem. When killed, they express their gratitude which makes it hard to loot them, but waiting a few seconds (while killing another) will make their 0.3 Water easily lootable.		33.0, 55.8; 35.6, 56.6; 36.2, 61.4; 33.6, 63.6; 31.8, 66.8; 26.6, 66.2; 26.2, 65.2; 28.6, 59.6	
				Drop	Muddied Water Elemental	89.0, 57.7	Twilight Highlands		FALSE	Phase 1	1	Plausible Hyperspawn. Quest-relevant to both factions, but on dry land. Drop 0.18 Volatile Water each and are very easy to kill.		64.0, 41.4; 69.8, 48.2; 70.8, 50.6; 68.8, 50.6; 67.6, 52.2; 66.4, 47.6; 64.4, 44.8; 63.4, 42.0	
				Drop	Compelled Elemental	67.8, 68.4	Vashj'ir: Abyssal Depths		FALSE	Phase 1	1	Found inside the big snail. At 0.15 Water per kill, cultists around, and a bad population, while also being very out of the way, they are not a great farm but a good place for when you don't want to talk to anyone.		30.0, 55.2; 30.0, 59.8; 31.4, 60.6; 34.2, 60.0; 35.0, 63.4; 31.6, 65.6; 27.2, 61.0; 27.0, 54.4	
				Fished	Any school of fish	~	Any	Fishing	FALSE	Phase 1	2	Odds are not great, but they are a lovely bonus when acquiring fish, unless the fish are worth more than Volatile Water since Volatiles count as a catch for depleting the school.			Meat
				Mined	Elementium Deposit	~	Any	Mining	FALSE	Phase 1	4	0.15 Water per vein, while Riches give 0.25. Not a good concentrated source, but a lovely bonus on top.			Metal, Elementium Ore
				Crafted	Transmute: Living Elements	~	Transmutation with CD	Alchemy	FALSE	Phase 1	0	Transmutes 15 Volatile Life into 14-16 of a "random" element. The element choice can be forced by being in a specific zone: Vashj'ir for Water, Mount Hyjal for Fire, Deepholm for Earth, and Uldum for Air. Alchemists specialised in Transmutation may receive extra Volatiles, which are always random. Shares cooldown with transmuting Pyrite and Truegold, so make sure to research how to best use your daily cooldown.			
				Drop	Water-Filled Gills	78.6, 87.4	Zul'Gurub	Group	FALSE	Phase 2	0	Dropped by Lost Offspring of Gahz'ranka in the waters surrounding the central temple. The Gills contain an average of 19 Volatile Water, however the drop chance for the Gills is only 1.2% to begin with. This gives the Offspring an expected 0.23 Water per kill. They are, however, much less practical to farm without a group and 98.8% of the time you'll get nothing at all.		35.2, 39.3; 40.6, 32.9; 44.7, 33.1; 49.6, 30.8; 57.1, 35.7; 52.0, 48.8; 47.5, 49.2; 45.5, 47.3; 40.4, 45.1; 35.6, 43.8; 35.2, 39.3; 38.6, 39.3; 40.4, 42.1; 45.7, 45.8; 51.3, 46.4; 52.8, 45.1; 52.8, 40.2; 54.5, 37.0;52.4, 33.8; 48.7, 32.9; 40.1, 35.7; 38.6, 39.3	
				Container	Tiny Treasure Chest	~	Any	~	FALSE	Phase 1	0	After using a Potion of Treasure Finding, drops from any Cataclysm mob that drops loot. The drop chance for a chest seems to be around 5% per kill. This is a decent source of cloth, while giving only trace amounts of ore and Volatiles. Thus, you should research whether the potion generates enough value to be worth its own cost, and use it when already farming something else.			
				Skinned	Strange Bloated Stomach	~	Any	Mining	FALSE	Phase 1	0	Rarely is skinned from Cataclysm mobs. Drops 1-2 Air, Earth, Fire, Life, or Water. If you have an Electrostatic Condenser in your inventory, you always receive an additional 1-2 Air (only fair, given the Stomach is a rare drop to begin with.)			Elemental, Volatile Air, Electrostatic Condenser
				Fished	Sealed Crate: Tol Barad	67.9, 53.2	Tol Barad Peninsula	Fishing	FALSE	Phase 1	2	Fished from Shipwreck Debris. Contains primarily cloth and a smattering of other goodies. Beware unpleasant members of the other faction. Can only be fished on the Peninsula, the northern contested area.			
				Fished	Sealed Crate: Darkmoon Island	~	Darkmoon Island	Fishing	FALSE	Phase 1	2	Fished from Shipwreck Debris. Contains primarily cloth and a smattering of other goodies. The Darkmoon Island's crates have a different drop table with more faire food. The pools can also contain mounts, so beware competition.			
				Fished	Any water	~	Any	Fishing	FALSE	Phase 1	0	While you can get Volatiles fishing in open water, the drop rate is so low that selling whatever else you fish up will buy you many more Volatiles than you get directly.			
Enchanting	Enchanting	#9900ff													
			Greater Celestial Essence												
				Created	Lesser Celestial Essence	~	Enchanting	~	FALSE	Phase 1	0	3 into 1 just like all essences. Anyone can do this.			Enchanting, Lesser Cosmic Essence
				Disenchanted	High level Cataclysm greens	~	Enchanting	Enchanting	FALSE	Phase 1	0	Green items with item level 306-315 (Requires level 83 or 84) will drop 1-2 Greater Essences, while 316-333 (the Redsteel set or items requiring level 85) will drop 2-3. Weapons have a 75% chance to drop Essences while armour has 25%. See table, data credit to Goodwinn on Wowhead.			
				Crafted	Maelstrom Shatter	~	~	Enchanting	FALSE	Phase 4	0	Converts one Maelstrom Crystal into two Greater Heavenly Shards.			Enchanting, Abyss Crystal
			Heavenly Shard												
				Disenchanted	High level Cataclysm blues	~	Enchanting	Enchanting	FALSE	Phase 1	0	Blue items with item level 318-377 will drop exactly one Heavenly Shard always. See table, data credit to Goodwinn on Wowhead.			
				Crafted	Small Heavenly Shard	~	Enchanting	~	FALSE	Phase 1	0	3 into 1. Unlike earlier iterations, this can be done freely by anyone, but you cannot reverse the process even with Enchanting, because Small Heavenly Shards serve literally no purpose other than making regular shards.			
			Hypnotic Dust												
				Disenchanted	Any Wrath green	~	Enchanting	Enchanting	FALSE	Phase 1	0	Green items with item level 272-333 drop increasing amounts of Dust, with armour having a 75% chance to drop it and weapons 25%. The expected amount of dust increases by 0.5 for each item level tier, starting at 1.5 for 272-277 and increasing to 3.5 at 319-333. See table, data credit to Goodwinn on Wowhead.			
			Lesser Celestial Essence												
				Disenchanted	Low level Cataclysm greens	~	Enchanting	Enchanting	FALSE	Phase 1	0	Green items with item level 272-305 (Requires level 77-82) will drop Lesser Celestial Essences. Weapons have a higher chance to drop Essences than armour, but both will drop the same amounts at a given item level. See table, data credit to Goodwinn on Wowhead.			
				Created	Greater Cosmic Essence	~	Enchanting	~	FALSE	Phase 1	0	1 into 3 just like all essences. Anyone can do this.			Enchanting, Greater Cosmic Essence
			Maelstrom Crystal												
				Disenchanted	Any Cataclysm epic	~	Enchanting	Enchanting	FALSE	Phase 1	0	Unlike prior iterations, it seems Maelstrom Crystals will never be disenchanted from blue items. Each item disenchants into exactly 1 Crystal.			
				Drop	Mortaxx	78.6, 87.4	Zul'Gurub	Group	FALSE	Phase 2	0	Drops exactly one Maelstrom Crystal for the group to share when killed. Can be found on the northeastern edge of the instance, either turning left at the entrance and travelling east along the path or going straight until one passes the Cache of Madness. Killing Mortaxx does not save you to the instance, but reaching him is quite a lot of effort compared to the other minibosses.	63.0, 33.3		
			Small Heavenly Shard												
				Disenchanted	Low level Cataclysm blues	~	Enchanting	Enchanting	FALSE	Phase 1	0	Blue items with item level 288-316 (requires level 78-81) will drop exactly one Small Heavenly Shard. See table, data credit to Goodwinn on Wowhead.			
Herb	Herbalism	#6aa84f													
			Azshara's Veil												
				Gathered	Tol Barad Peninsula	67.9, 53.2	Tol Barad Peninsula	Herbalism	FALSE	Phase 1	2	Grows along the river and the northern reef on the Peninsula, the northern contested area. Navigating the water in the ravine is a bit annoying if you don't have ways to mitigate swimming, but back in the day no one knew these even grew here.	58.3, 42.5; 66.2, 51.5; 61.1, 67.6; 48.5, 54.5; 39.5, 48.0; 33.9, 48.1; 30.0, 54.6	47,7, 10.2; 50.1, 11.3; 53.5, 18.5; 54.5, 26.7; 53.8, 30.1; 49.5, 24.5; 40.8, 18.0	
